id;advisor_deposit_number;default_advisor_deposit;deposit_num;swift_code;currency_code
1;mangle;false;grandma bicycle phooey;deliberately mow ATM;PGK
2;aha;false;lustrous communist;yum;VUV
3;though;true;uh-huh;ack until;LRD
4;wish scrutinise;true;uh-huh;scan ugh absent;FJD
5;blah;true;helpfully comprise;enactment;VES
6;overjoyed notice tummy;false;majestic off;toward;CDF
7;vainly thirsty ouch;false;shrill;crowd reckless through;GBP
8;whenever winding ew;true;attention;difficult whoever;TTD
9;esteemed passivize;false;lob;against recklessly ugh;IDR
10;healthily incidentally several;true;brr negative ascertain;exactly;AED
