id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lucienne;Carroll;Jaunita_Glover82@hotmail.com;even consequently um;2024-05-31T00:43:36;8831;31355
2;Hans;Kautzer;Aditya.Deckow11@gmail.com;beget;2024-05-31T02:19:18;5587;24452
3;Dakota;Oberbrunner;Jordane_Spinka@hotmail.com;before;2024-05-31T02:57:53;29272;9493
4;Leann;Olson;Kariane42@yahoo.com;grouper;2024-05-31T06:24:50;16017;2035
5;Hildegard;Quitzon;Mafalda60@hotmail.com;beat pro blushing;2024-05-30T21:37:39;19639;14837
6;Bessie;Hane;Kristian.Bode@gmail.com;if phooey;2024-05-30T18:13:09;29039;14774
7;Russel;Robel;Nannie.McGlynn47@gmail.com;consequently outclass;2024-05-30T19:47:56;5698;29358
8;Bartholome;Mann;Brayan35@yahoo.com;redraw where;2024-05-30T20:03:06;29068;21516
9;Hildegard;Medhurst;Carrie.Howe70@hotmail.com;hmph crest;2024-05-31T08:44:51;28004;22939
10;Amira;Crooks;Keeley.Marquardt45@yahoo.com;whenever;2024-05-30T14:02:59;5473;29064
